SUMLEV,REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,4,9,06,California,1,2,1,40,101560,101561,100257,96490,94757,94533,95072,98688,96274,96460,96451
040,4,9,06,California,1,2,2,40,1818,1818,1803,1692,1717,1747,1753,1938,2174,2125,2233
040,4,9,06,California,1,2,3,40,3678,3678,3700,3597,3553,3559,3538,3592,3704,3721,3700
040,4,9,06,California,1,2,4,40,1575,1575,1553,1498,1514,1449,1464,1693,1692,1768,1689
040,4,9,06,California,1,2,5,40,323,323,320,330,319,347,358,392,369,425,447
040,4,9,06,California,1,2,6,40,2070,2070,2038,1983,1927,1946,2056,2189,2490,2583,2702
040,4,9,06,California,2,0,1,40,201072,201074,199312,191814,180294,175332,173567,179070,172740,174994,174392
040,4,9,06,California,2,0,2,40,19156,19157,18899,17760,16191,15572,15337,16208,15719,16127,16235
040,4,9,06,California,2,0,3,40,4550,4550,4544,4491,4209,4222,4180,4411,4237,4313,4398
040,4,9,06,California,2,0,4,40,45278,45279,45788,45630,46552,46764,46753,47828,46625,47202,46760
040,4,9,06,California,2,0,5,40,1456,1456,1434,1338,1300,1315,1310,1340,1317,1426,1355
040,4,9,06,California,2,0,6,40,7290,7290,7405,7561,7088,7012,7178,7430,7608,8209,8408
040,4,9,06,California,2,1,1,40,105351,105352,104224,97424,86814,80977,79362,82350,78704,81032,81497
040,4,9,06,California,2,1,2,40,17190,17191,16896,15621,14120,13496,13185,14007,13284,13667,13835
040,4,9,06,California,2,1,3,40,1243,1243,1233,1146,1037,1008,928,999,942,1021,990
040,4,9,06,California,2,1,4,40,43672,43673,44172,44031,44953,45146,45191,46151,44858,45487,44989
040,4,9,06,California,2,1,5,40,1132,1132,1101,994,966,1007,977,989,944,998,970
040,4,9,06,California,2,1,6,40,5199,5199,5268,5406,5031,4947,4997,5172,5185,5518,5681
040,4,9,06,California,2,2,1,40,95721,95722,95088,94390,93480,94355,94205,96720,94036,93962,92895
040,4,9,06,California,2,2,2,40,1966,1966,2003,2139,2071,2076,2152,2201,2435,2460,2400
040,4,9,06,California,2,2,3,40,3307,3307,3311,3345,3172,3214,3252,3412,3295,3292,3408
040,4,9,06,California,2,2,4,40,1606,1606,1616,1599,1599,1618,1562,1677,1767,1715,1771
040,4,9,06,California,2,2,5,40,324,324,333,344,334,308,333,351,373,428,385
040,4,9,06,California,2,2,6,40,2091,2091,2137,2155,2057,2065,2181,2258,2423,2691,2727
040,4,8,08,Colorado,0,0,1,40,66671,66673,66878,66546,62427,59922,60235,63261,61629,64228,65976
040,4,8,08,Colorado,0,0,2,40,3372,3373,3370,3358,3284,3157,3202,3375,3365,3443,3478
040,4,8,08,Colorado,0,0,3,40,1094,1094,1112,1161,1187,1160,1182,1251,1194,1227,1221
040,4,8,08,Colorado,0,0,4,40,2663,2663,2695,2699,2901,2975,2906,3055,2911,2973,3110
040,4,8,08,Colorado,0,0,5,40,121,121,124,139,146,113,126,145,152,139,180
040,4,8,08,Colorado,0,0,6,40,1342,1342,1361,1428,1425,1393,1571,1554,1692,1800,1919
